composer,title,split,model,recording,p_nov,r_nov,f_nov,reverb,snr
Bach,Fugue_bwv_848,train,T5,disklavier,0.7908,0.815,0.8027,norev,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.9066,0.9117,0.9092,norev,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6723,0.6676,0.6699,norev,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.756,0.7844,0.77,norev,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.8228,0.8268,0.8248,norev,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6662,0.6606,0.6634,norev,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0095,0.0076,0.0085,norev,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.651,0.685,0.6676,norev,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.5413,0.5376,0.5394,norev,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0184,0.0028,0.0048,norev,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0196,0.0174,0.0184,norev,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3984,0.427,0.4122,norev,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.5854,0.7031,0.6389,s,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.7737,0.8129,0.7928,s,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.7236,0.7156,0.7196,s,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.522,0.5452,0.5333,s,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.5717,0.6321,0.6004,s,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.6499,0.6467,0.6483,s,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0093,0.0028,0.0043,s,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0189,0.016,0.0173,s,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.4703,0.4791,0.4747,s,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0,0.0,0.0,s,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.022,0.0035,0.006,s,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3821,0.2872,0.3279,s,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.1555,0.4659,0.2332,m,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.2832,0.4214,0.3387,m,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3345,0.3255,0.3299,m,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.1115,0.1745,0.136,m,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.1961,0.2573,0.2226,m,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.3221,0.3248,0.3234,m,24
Bach,Fugue_bwv_848,train,T5,disklavier,0.0069,0.0007,0.0013,m,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0091,0.0021,0.0034,m,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.1675,0.2197,0.1901,m,12
Bach,Fugue_bwv_848,train,T5,disklavier,0.0075,0.0014,0.0023,m,6
Bach,Fugue_bwv_848,train,kong,disklavier,0.0,0.0,0.0,m,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0042,0.0035,0.0038,m,6
Bach,Fugue_bwv_848,train,T5,disklavier,0.0675,0.2323,0.1046,l,nonoise
Bach,Fugue_bwv_848,train,kong,disklavier,0.0433,0.0855,0.0575,l,nonoise
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0419,0.0459,0.0438,l,nonoise
Bach,Fugue_bwv_848,train,T5,disklavier,0.0044,0.0049,0.0046,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.0559,0.0834,0.0669,l,24
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0455,0.0515,0.0483,l,24
Bach,Fugue_bwv_848,train,kong,disklavier,0.0254,0.0042,0.0072,l,12
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0448,0.0626,0.0522,l,12
Bach,Fugue_bwv_848,train,kong,disklavier,0.0,0.0,0.0,l,6
Bach,Fugue_bwv_848,train,oaf,disklavier,0.0032,0.0028,0.003,l,6
Beethoven,Piano_Sonatas_21-1_no_repeat,train,T5,maestro,0.95,0.9252,0.9374,norev,nonoise
Beethoven,Piano_Sonatas_21-1_no_repeat,train,kong,maestro,0.9027,0.8983,0.9005,norev,nonoise
